load_lat,mul_lat,CP_lat,ILP_lat,IPC_upper_2issue,mul_add_stall_frac,load_mul_stall_frac
2,1,4,2304.75,2,0.0,0.0
2,2,5,1843.8,2,1.0,0.0
2,3,6,1536.5,2,1.0,0.0
2,4,7,1317.0,2,1.0,0.0
2,5,8,1152.375,2,1.0,0.0
3,1,5,1843.8,2,0.0,0.0
3,2,6,1536.5,2,1.0,0.0
3,3,7,1317.0,2,1.0,0.0
3,4,8,1152.375,2,1.0,0.0
3,5,9,1024.3333333333333,2,1.0,0.0
4,1,6,1536.5,2,0.0,0.5
4,2,7,1317.0,2,1.0,0.5
4,3,8,1152.375,2,1.0,0.5
4,4,9,1024.3333333333333,2,1.0,0.5
4,5,10,921.9,2,1.0,0.5
5,1,7,1317.0,2,0.0,1.0
5,2,8,1152.375,2,1.0,1.0
5,3,9,1024.3333333333333,2,1.0,1.0
5,4,10,921.9,2,1.0,1.0
5,5,11,838.0909090909091,2,1.0,1.0
6,1,8,1152.375,2,0.0,1.0
6,2,9,1024.3333333333333,2,1.0,1.0
6,3,10,921.9,2,1.0,1.0
6,4,11,838.0909090909091,2,1.0,1.0
6,5,12,768.25,2,1.0,1.0
