load_lat,mul_lat,CP_lat,ILP_lat,IPC_upper_2issue,mul_add_stall_frac,load_mul_stall_frac
2,1,4,28224.0,2,0.0,0.0
2,2,5,22579.2,2,1.0,0.0
2,3,6,18816.0,2,1.0,0.0
2,4,7,16128.0,2,1.0,0.0
2,5,8,14112.0,2,1.0,0.0
3,1,5,22579.2,2,0.0,0.0
3,2,6,18816.0,2,1.0,0.0
3,3,7,16128.0,2,1.0,0.0
3,4,8,14112.0,2,1.0,0.0
3,5,9,12544.0,2,1.0,0.0
4,1,6,18816.0,2,0.0,0.5
4,2,7,16128.0,2,1.0,0.5
4,3,8,14112.0,2,1.0,0.5
4,4,9,12544.0,2,1.0,0.5
4,5,10,11289.6,2,1.0,0.5
5,1,7,16128.0,2,0.0,1.0
5,2,8,14112.0,2,1.0,1.0
5,3,9,12544.0,2,1.0,1.0
5,4,10,11289.6,2,1.0,1.0
5,5,11,10263.272727272728,2,1.0,1.0
6,1,8,14112.0,2,0.0,1.0
6,2,9,12544.0,2,1.0,1.0
6,3,10,11289.6,2,1.0,1.0
6,4,11,10263.272727272728,2,1.0,1.0
6,5,12,9408.0,2,1.0,1.0
