load_lat,mul_lat,CP_lat,ILP_lat,IPC_upper_2issue,mul_add_stall_frac,load_mul_stall_frac
2,2,1029,260.82021379980563,2,0.0,0.0
2,3,1030,260.56699029126213,2,1.0,0.0
2,4,1031,260.3142580019399,2,1.0,0.0
2,5,1032,260.06201550387595,2,1.0,0.0
2,6,1033,259.810261374637,2,1.0,0.0
3,2,1030,260.56699029126213,2,0.0,0.0
3,3,1031,260.3142580019399,2,1.0,0.0
3,4,1032,260.06201550387595,2,1.0,0.0
3,5,1033,259.810261374637,2,1.0,0.0
3,6,1034,259.55899419729207,2,1.0,0.0
4,2,1031,260.3142580019399,2,0.0,0.5
4,3,1032,260.06201550387595,2,1.0,0.5
4,4,1033,259.810261374637,2,1.0,0.5
4,5,1034,259.55899419729207,2,1.0,0.5
4,6,1035,259.3082125603865,2,1.0,0.5
5,2,1032,260.06201550387595,2,0.0,0.5
5,3,1033,259.810261374637,2,1.0,0.5
5,4,1034,259.55899419729207,2,1.0,0.5
5,5,1035,259.3082125603865,2,1.0,0.5
5,6,1036,259.05791505791507,2,1.0,0.5
6,2,1033,259.810261374637,2,0.0,0.5
6,3,1034,259.55899419729207,2,1.0,0.5
6,4,1035,259.3082125603865,2,1.0,0.5
6,5,1036,259.05791505791507,2,1.0,0.5
6,6,1037,258.808100289296,2,1.0,0.5
